persona_id,problem_id,modifier_id,query,looks_human_mobile,not_ai_slop,single_language,matches_problem,matches_persona,no_pii,passed,reasoning,answer,retrieved_ids,retrieved_titles,retrieved_scores,gold_article_retrieved
uk_freelance_designer,pending_verification_too_long,empty,"Hi there, I completed my verification 3 days ago but my account still shows as pending. I can't access all the features I need for my work, can you let me know when I might expect it to be sorted or if there's a way to speed things up? Cheers!",True,True,True,True,True,True,True,"All checks passed. The query is informal and plausible for mobile typing, lacks AI-like phrasing, uses only English, directly addresses the user's problem, matches the persona's communication style, and contains no personal information.","Your verification process usually takes up to 1 business day, but it can take up to 7 business days in some cases. Since it has been 3 days, I recommend being patient as it may still be in progress. You will receive a notification via email and in-app once it's completed. Unfortunately, there is no way to speed up the verification process. If you have any concerns, you can check your emails for updates or contact our customer support team through the in-app chat.","[399, 584, 587, 548]","[""I'm unable to verify my identity"", ""Why is my card transfer still pending?"", ""Why is my transfer to a bank account still pending?"", ""Why is my incoming transfer pending?""]","[0.5588037826226296, 0.494403602338204, 0.4860485216117752, 0.4692948369716881]",False
uk_freelance_designer,pending_verification_too_long,anxious_security_fear,"Hi there, I've completed my verification three days ago, but my account is still showing as pending. I can't access all the features, and with all the recent fraud warnings, I'm feeling a bit uneasy. Can you give me a timeline for when this will be sorted, or is there any way to expedite it? Cheers.",True,True,True,True,True,True,True,"All checks passed. The query is informal and plausible for mobile typing, lacks AI-like phrasing, uses only English, directly addresses the user's problem, matches the persona's communication style, and contains no personal information.","Your account verification process typically takes up to 1 business day, but it can take up to 7 business days in some cases. Since it has been three days, please be patient as we complete the review. You will receive a notification via email and in-app once it's completed. Unfortunately, there is no way to expedite this process. If you have any concerns or need further assistance, feel free to contact our customer support team through the in-app chat.","[399, 584, 587, 516]","[""I'm unable to verify my identity"", ""Why is my card transfer still pending?"", ""Why is my transfer to a bank account still pending?"", ""Understanding the account review process""]","[0.5729356470169906, 0.5064628758414491, 0.5006306395316162, 0.49117387377501365]",False
uk_freelance_designer,pending_verification_too_long,angry_after_waiting,"I've completed my verification 3 days ago and my account is still pending! I've already tried contacting support multiple times and waiting on hold is just ridiculous. I need this sorted ASAP or I might have to look for another provider, mate!",True,True,True,True,True,True,True,"All checks passed. The query is informal and plausible for mobile typing, lacks AI-like phrasing, uses only English, directly addresses the user's problem, matches the persona's communication style with Britishisms, and contains no personal information.","Your verification process can take up to 7 business days in some cases, so it may still be pending due to that timeframe. If it has been 3 days, please be patient as we complete the verification. You will receive a notification via email and in-app once it's done. If you have any urgent concerns, you can try contacting support again through the in-app chat.","[399, 584, 587, 385]","[""I'm unable to verify my identity"", ""Why is my card transfer still pending?"", ""Why is my transfer to a bank account still pending?"", ""Trouble with mobile verification code""]","[0.5130038099764493, 0.45352846651012135, 0.444410351129966, 0.4338105302358042]",False
uk_freelance_designer,pending_verification_too_long,typing_from_phone_with_typos,"Hey mate, I did the verification thing 3 days ago but my account still says pending and I can't access all the features, super frustrating. Is there a timeline for this or a way to speed it up? Cheers!",True,True,True,True,True,True,True,"All checks passed. The query is informal and plausible for mobile typing, lacks assistant-style phrasing, uses only English, directly addresses the user's problem, matches the persona's communication style, and contains no personal information.","Your verification process typically takes up to 1 business day, but it can take up to 7 business days in some cases. Since it has been 3 days, I recommend being patient as it may still be processing. Unfortunately, there is no way to speed up the verification process. You will receive a notification via email and in-app once it is completed. If you have any specific concerns, you can check your emails for updates or contact customer support through the in-app chat.","[399, 584, 587, 548]","[""I'm unable to verify my identity"", ""Why is my card transfer still pending?"", ""Why is my transfer to a bank account still pending?"", ""Why is my incoming transfer pending?""]","[0.5207250345315564, 0.4667549053691208, 0.4504581421043634, 0.4398325481550517]",False
uk_freelance_designer,card_not_working_abroad,anxious_security_fear,"My card just got declined while I’m in Thailand and I haven't changed any settings. I’m really worried it might be frozen or something, especially with all the fraud warnings lately. Can you let me know if it’s a security issue or a problem with the merchant? I need this sorted ASAP, cheers.",True,True,True,True,True,True,True,"All checks passed. The query is informal and plausible for mobile typing, avoids AI-like phrasing, uses only English, directly addresses the user's problem, matches the persona's communication style, and contains no personal information.","Your card may have been declined due to our security system identifying potential fraud. To resolve this, please complete the in-app questionnaire. You can access it by going to the home page of your Revolut app and tapping the relevant tile, or through the push notification and email sent to you.

If your card is frozen, all payments will be declined until you complete the questionnaire. If you confirm the payment was made by you, your card will be unfrozen, and you can retry the payment.

If the issue persists, you can check the transaction details in your app by tapping 'See all' under your recent transactions and selecting the declined payment to view the reason in the 'Status' section. For further assistance, you can also fill out this form to reach out to the merchant: [Merchant Support Form](https://app.revolut.com/form/13ef84b4-1e3b-48eb-8e8b-0030e7e08adc?faqEntryPoint=question.why-has-my-card-payment-been-declined).

If you suspect a technical issue with the merchant, consider contacting them directly.","[147, 149, 146, 198]","[""My card payment was declined by the security system"", ""My card payment was declined"", ""Declined card payment isn't visible"", ""My card has been used fraudulently""]","[0.6449218729450129, 0.5979637153740845, 0.5947494757533037, 0.5748138598917141]",False
uk_freelance_designer,card_not_working_abroad,angry_after_waiting,"I've tried sorting this out multiple times already, but my card just got declined while I'm in Thailand! I haven't changed any settings, so can you tell me if my card's been frozen or if it's a problem with the merchant? I'm really fed up with this!",True,True,True,True,True,True,True,"All checks passed. The query is informal and plausible for mobile typing, lacks AI-like phrasing, uses only English, directly addresses the user's problem, matches the persona's communication style, and contains no personal information.","I recommend checking your transactions list in the Revolut app to see if there are any details about the declined payment. You can do this by tapping 'See all' below your most recent transactions and selecting the declined payment to view the 'Status' section for more information.

If you suspect that your card may be frozen, you can complete the in-app questionnaire to review the payment. This can be accessed from the home page of your app or through any push notifications or emails you may have received.

If the issue persists, consider reaching out to the merchant directly or filling out this form to help us raise your case with them: [Merchant Issue Form](https://app.revolut.com/form/13ef84b4-1e3b-48eb-8e8b-0030e7e08adc?faqEntryPoint=question.why-has-my-card-payment-been-declined).","[149, 147, 146, 136]","[""My card payment was declined"", ""My card payment was declined by the security system"", ""Declined card payment isn't visible"", ""Problems with my card PIN""]","[0.5813897877798065, 0.5756297804063908, 0.5651546291151166, 0.5541635239020117]",False
uk_freelance_designer,virtual_card_missing,empty,"Hi there, I'm trying to set up a virtual card for online safety but I can't seem to find where to generate one in the app. Can you point me in the right direction? Cheers!",True,True,True,True,True,True,True,"All checks passed. The query is informal and plausible for mobile typing, lacks AI-like phrasing, uses only English, directly addresses the user's problem, matches the persona's communication style, and contains no personal information.","To create a virtual card in the Revolut app, follow these steps:

1. Go to 'Home' on the bottom menu.
2. Tap the cards icon in the top-right corner.
3. Tap 'Add new'.
4. Choose 'Debit', 'Joint', or 'Pro' at the top.
5. Select 'Virtual'.
6. Choose a colour.
7. Tap 'Get card for free' to instantly create your virtual card.

Once created, you can use it for online purchases and manage it directly in the app.","[195, 184, 135, 134]","[""How do I use a Revolut virtual card?"", ""Creating a virtual card"", ""My virtual card is not working"", ""What is a virtual card?""]","[0.5867592006972242, 0.5824949032378963, 0.5666206849276691, 0.56612650630157]",False
uk_freelance_designer,virtual_card_missing,anxious_security_fear,"Hi there, I’ve heard about some recent scams and I’m really concerned about my online security. I want to generate a virtual card for safer transactions, but I can’t find where to do that in the app. Can someone help me out with this ASAP? Cheers!",True,True,True,True,True,True,True,"All checks passed. The query is informal and plausible for mobile typing, avoids assistant-style phrasing, uses only English, directly addresses the user's problem, matches the persona's communication style, and contains no personal information.","To generate a virtual card in the Revolut app, follow these steps:

1. Open the Revolut app.
2. Tap the cards icon in the top-right corner of the home screen.
3. Select the option to create a virtual card.

Virtual cards are secure and can be used for online transactions. If you need further assistance, feel free to ask!","[531, 195, 134, 532]","[""How can I keep my account safe from fraud?"", ""How do I use a Revolut virtual card?"", ""What is a virtual card?"", ""How to report a suspicious call, email, link, or text""]","[0.5724142857081866, 0.5699914643154684, 0.5567869463292208, 0.5457815672999466]",False
uk_freelance_designer,virtual_card_missing,angry_after_waiting,"I've been trying to find how to generate a virtual card in the app for ages now, and it's really frustrating! I've already waited on hold and reached out before, but no luck. I need this sorted immediately or I’ll have to consider switching to another provider!",True,True,True,True,True,True,True,"All checks passed. The query is informal and plausible for mobile typing, lacks AI-like phrasing, uses only English, directly addresses the user's problem, matches the persona's communication style, and contains no personal information.","To generate a virtual card in the Revolut app, follow these steps:

1. From your home screen, tap the cards icon in the top-right corner.
2. Select the option to create a new virtual card.
3. Choose between a multi-use card or a single-use card based on your needs.

Remember, you can create up to 4 virtual cards per month. If you need further assistance, please let me know!","[135, 177, 134, 185]","[""My virtual card is not working"", ""My single-use virtual card isn't working"", ""What is a virtual card?"", ""I ordered a card and it didn't arrive""]","[0.5311868347432787, 0.5125439799260638, 0.4893288484213226, 0.4792797444414283]",False
uk_freelance_designer,virtual_card_missing,typing_from_phone_with_typos,"Hey, I'm trying to sort out a virtual card for some online safety but I can't find where to generate one in the app, it's a bit of a faff honestly, can you help me out? Cheers!",True,True,True,True,True,True,True,"All checks passed. The query is informal and plausible for a mobile user, matches the user's problem, aligns with the persona's communication style, and contains no personal information.","To create a virtual card in the Revolut app, follow these steps:

1. Go to 'Home' on the bottom menu.
2. Tap the cards icon in the top-right corner.
3. Tap 'Add new'.
4. Choose 'Debit', 'Joint', or 'Pro' at the top.
5. Select 'Virtual'.
6. Choose a colour.
7. Tap 'Get card for free' to instantly create your virtual card.

Once you've completed these steps, your virtual card will be ready for use.","[184, 195, 134, 135]","[""Creating a virtual card"", ""How do I use a Revolut virtual card?"", ""What is a virtual card?"", ""My virtual card is not working""]","[0.5739124543112699, 0.5602619142244818, 0.5588359573642853, 0.5587100785101226]",False
