persona_id,problem_id,modifier_id,query,looks_human_mobile,not_ai_slop,single_language,matches_problem,matches_persona,no_pii,passed,reasoning
uk_freelance_designer,verify_identity_failed,empty,"Hi there, I submitted my documents for verification a while back, but I've just received a rejection without any clear reason. I'm really frustrated and need to know what went wrong so I can sort this out and resubmit correctly. Cheers!",False,True,True,True,True,True,False,"The query is too formal and structured for a mobile message, lacking the informal tone and potential typos typical of mobile typing. While it does not contain AI-style phrasing, it does not align with the expected casualness of a mobile query."
uk_freelance_designer,verify_identity_failed,poor_internet_connection,"Hi, I submitted my docs for verification but got rejected without a clear reason. What's gone wrong? How can I resubmit properly? Cheers.",False,True,True,True,False,True,False,"The query is too formal and structured for a mobile message, lacking the abruptness and potential typos expected from a user in a weak signal area. Additionally, it does not fully match the persona's communication style, as it is more polished than what would be expected from someone who is impatient and possibly typing quickly on a phone."
uk_freelance_designer,verify_identity_failed,anxious_security_fear,"Hi there, I've submitted my verification documents but they got rejected without any clear reason, which is quite frustrating. Given the recent fraud warnings I've heard about, I'm really concerned about security. Can you please help me understand what went wrong and how I can resubmit correctly? Cheers!",False,True,True,True,True,True,False,"The query does not look human mobile because it is too formal and polished for a message typed on a phone. It uses full sentences and proper punctuation, which is less typical for informal mobile communication. The rest of the checks pass."
uk_freelance_designer,verify_identity_failed,angry_after_waiting,"I've submitted my verification documents multiple times and they keep getting rejected without any clear reason! This is beyond frustrating, and I'm really close to switching to another provider if this isn't sorted out immediately. Can you please tell me what went wrong and how I can resubmit properly? Cheers!",False,True,True,True,True,True,False,"The query does not look human mobile because it is too formal and structured for a message typed on a phone. It uses full sentences and proper punctuation, which is less typical for informal mobile communication. The rest of the checks pass."
uk_freelance_designer,verify_identity_failed,typing_from_phone_with_typos,"Hey, I submitted my docs for verification but got rejected and no clue why, can you let me know what went wrong? I really need to sort this out so I can resubmit properly, cheers!",False,True,True,True,False,True,False,"The query does not pass the 'looks_human_mobile' check because it is too polished and lacks the casual, rushed feel expected from someone typing on a phone while multitasking. Additionally, it does not match the persona's communication style as it is too formal and complete, lacking the expected casualness and potential typos or autocorrect errors that would be present in a hurried message."
uk_freelance_designer,pending_verification_too_long,empty,"Hi there, I completed my verification 3 days ago but my account still shows as pending. I can't access all the features I need for my work, can you let me know when I might expect it to be sorted or if there's a way to speed things up? Cheers!",True,True,True,True,True,True,True,"All checks passed. The query is informal and plausible for mobile typing, lacks AI-like phrasing, uses only English, directly addresses the user's problem, matches the persona's communication style, and contains no personal information."
uk_freelance_designer,pending_verification_too_long,poor_internet_connection,"Hey, I completed my verification 3 days ago but my account still shows pending status. I can’t access full features, which is really frustrating. Is there a timeline for when this will be sorted or any way to speed it up? Cheers.",False,True,True,True,False,True,False,"The query is too formal and structured for a mobile message, lacking the abruptness and potential typos expected from a user in a weak signal area. Additionally, while it addresses the problem, it does not match the persona's communication style, which would likely be more informal and possibly include more Britishisms or shorthand due to the context of being on a train."
uk_freelance_designer,pending_verification_too_long,anxious_security_fear,"Hi there, I've completed my verification three days ago, but my account is still showing as pending. I can't access all the features, and with all the recent fraud warnings, I'm feeling a bit uneasy. Can you give me a timeline for when this will be sorted, or is there any way to expedite it? Cheers.",True,True,True,True,True,True,True,"All checks passed. The query is informal and plausible for mobile typing, lacks AI-like phrasing, uses only English, directly addresses the user's problem, matches the persona's communication style, and contains no personal information."
uk_freelance_designer,pending_verification_too_long,angry_after_waiting,"I've completed my verification 3 days ago and my account is still pending! I've already tried contacting support multiple times and waiting on hold is just ridiculous. I need this sorted ASAP or I might have to look for another provider, mate!",True,True,True,True,True,True,True,"All checks passed. The query is informal and plausible for mobile typing, lacks AI-like phrasing, uses only English, directly addresses the user's problem, matches the persona's communication style with Britishisms, and contains no personal information."
uk_freelance_designer,pending_verification_too_long,typing_from_phone_with_typos,"Hey mate, I did the verification thing 3 days ago but my account still says pending and I can't access all the features, super frustrating. Is there a timeline for this or a way to speed it up? Cheers!",True,True,True,True,True,True,True,"All checks passed. The query is informal and plausible for mobile typing, lacks assistant-style phrasing, uses only English, directly addresses the user's problem, matches the persona's communication style, and contains no personal information."
uk_freelance_designer,card_not_working_abroad,empty,"Hi there, my card just got declined while I'm in Thailand and I haven't changed any settings. Can you let me know if it's frozen or if it's a problem with the merchant? Cheers!",False,True,True,True,True,True,False,"The query is too formal and structured for a mobile message, lacking the informal tone and potential typos typical of a human typing on a phone. While it does not contain AI-style phrasing and matches the user's problem and persona, the overall tone does not align with the expected casualness of a mobile query."
uk_freelance_designer,card_not_working_abroad,poor_internet_connection,"Hey, my card got declined here in Thailand. I haven't changed anything in the settings. Is it frozen or just a merchant issue? Cheers.",False,True,True,True,False,True,False,"The query is too polished and structured for a mobile message, lacking the abruptness and potential typos expected from a user in a weak signal area. Additionally, while it addresses the problem, it does not match the persona's communication style, as it is more formal and complete than what would be expected from someone who is impatient and possibly dealing with connectivity issues."
uk_freelance_designer,card_not_working_abroad,anxious_security_fear,"My card just got declined while I’m in Thailand and I haven't changed any settings. I’m really worried it might be frozen or something, especially with all the fraud warnings lately. Can you let me know if it’s a security issue or a problem with the merchant? I need this sorted ASAP, cheers.",True,True,True,True,True,True,True,"All checks passed. The query is informal and plausible for mobile typing, avoids AI-like phrasing, uses only English, directly addresses the user's problem, matches the persona's communication style, and contains no personal information."
uk_freelance_designer,card_not_working_abroad,angry_after_waiting,"I've tried sorting this out multiple times already, but my card just got declined while I'm in Thailand! I haven't changed any settings, so can you tell me if my card's been frozen or if it's a problem with the merchant? I'm really fed up with this!",True,True,True,True,True,True,True,"All checks passed. The query is informal and plausible for mobile typing, lacks AI-like phrasing, uses only English, directly addresses the user's problem, matches the persona's communication style, and contains no personal information."
